Richard Shelby,Republican
Tommy Tuberville,Republican
Lisa Murkowski,Republican
Daniel S. Sullivan,Republican
Mark Kelly,Democratic
Kyrsten Sinema,Democratic
John Boozman,Republican
Tom Cotton,Republican
Dianne Feinstein,Democratic
Alex Padilla,Democratic
Michael Bennet,Democratic
John Hickenlooper,Democratic
Richard Blumenthal,Democratic
Christopher S. Murphy,Democratic
Tom Carper,Democratic
Chris Coons,Democratic
Marco Rubio,Republican
Rick Scott,Republican
Jon Ossoff,Democratic
Raphael Warnock,Democratic
Mazie K. Hirono,Democratic
Brian E. Schatz,Democratic
Mike Crapo,Republican
Jim Risch,Republican
Tammy Duckworth,Democratic
Dick Durbin,Democratic
Mike Braun,Republican
Todd C. Young,Republican
Joni Ernst,Republican
Chuck Grassley,Republican
Roger Marshall,Republican
Jerry Moran,Republican
Mitch McConnell,Republican
Rand Paul,Republican
Bill Cassidy,Republican
John Neely Kennedy,Republican
Susan Collins,Republican
Angus King,Independent
Ben Cardin,Democratic
Chris Van Hollen,Democratic
Edward J. Markey,Democratic
Elizabeth Warren,Democratic
Gary Peters,Democratic
Debbie Stabenow,Democratic
Amy Klobuchar,Democratic
Tina Smith,Democratic
Cindy Hyde-Smith,Republican
Roger Wicker,Republican
Roy Blunt,Republican
Josh Hawley,Republican
Steve Daines,Republican
Jon Tester,Democratic
Deb Fischer,Republican
Ben Sasse,Republican
Catherine Cortez Masto,Democratic
Jacky Rosen,Democratic
Maggie Hassan,Democratic
Jeanne Shaheen,Democratic
Cory Booker,Democratic
Bob Menendez,Democratic
Martin Heinrich,Democratic
Ben Ray Luján,Democratic
Kirsten Gillibrand,Democratic
Chuck Schumer,Democratic
Richard Burr,Republican
Thom Tillis,Republican
Kevin Cramer,Republican
John Hoeven,Republican
Sherrod Brown,Democratic
Rob Portman,Republican
Jim Inhofe,Republican
James Lankford,Republican
Jeff Merkley,Democratic
Ron Wyden,Democratic
Bob Casey Jr.,Democratic
Pat Toomey,Republican
Jack Reed,Democratic
Sheldon Whitehouse,Democratic
Lindsey Graham,Republican
Tim Scott,Republican
Mike Rounds,Republican
John Thune,Republican
Marsha Blackburn,Republican
Bill Hagerty,Republican
John Cornyn,Republican
Ted Cruz,Republican
Mike Lee,Republican
Mitt Romney,Republican
Patrick Leahy,Democratic
Bernie Sanders,Independent
Tim Kaine,Democratic
Mark Warner,Democratic
Maria Cantwell,Democratic
Patty Murray,Democratic
Shelley Moore Capito,Republican
Joe Manchin III,Democratic
Tammy Baldwin,Democratic
Ronald Harold Johnson,Republican
John Barrasso,Republican
Cynthia Lummis,Republican