full_name,party
Richard Shelby,Republican
Tommy Tuberville,Republican
Lisa Murkowski,Republican
Daniel S. Sullivan,Republican
Mark Kelly,Democratic
Kyrsten Sinema,Democratic
John Boozman,Republican
Tom Cotton,Republican
Dianne Feinstein,Democratic
Alex Padilla,Democratic
Michael Bennet,Democratic
John Hickenlooper,Democratic
Richard Blumenthal,Democratic
Christopher S. Murphy,Democratic
Tom Carper,Democratic
Chris Coons,Democratic
Marco Rubio,Republican
Rick Scott,Republican
Jon Ossoff,Democratic
Raphael Warnock,Democratic
Mazie K. Hirono,Democratic
Brian E. Schatz,Democratic
Mike Crapo,Republican
Jim Risch,Republican
Tammy Duckworth,Democratic
Dick Durbin,Democratic
Mike Braun,Republican
Todd C. Young,Republican
Joni Ernst,Republican
Chuck Grassley,Republican
Roger W. Marshall,Republican
Jerry Moran,Republican
Mitch McConnell,Republican
Rand Paul,Republican
Bill Cassidy,Republican
John Neely Kennedy,Republican
Joseph P. Kennedy,Democratic
Susan Collins,Republican
Angus King,Independent
Ben Cardin,Democratic
Chris Van Hollen,Democratic
Edward J. Markey,Democratic
Elizabeth Warren,Democratic
Gary Peters,Democratic
Debbie Stabenow,Democratic
Amy Klobuchar,Democratic
Tina Smith,Democratic
Cindy Hyde-Smith,Republican
Roger Wicker,Republican
Linda T. Sanchez,Democratic
Roy Blunt,Republican
Josh Hawley,Republican
Steve Daines,Republican
Jon Tester,Democratic
Deb Fischer,Republican
Ben Sasse,Republican
Catherine Cortez Masto,Democratic
Jacky Rosen,Democratic
Maggie Hassan,Democratic
Jeanne Shaheen,Democratic
Cory Booker,Democratic
Bob Menendez,Democratic
Martin Heinrich,Democratic
Ben Ray Luján,Democratic
Kirsten Gillibrand,Democratic
Chuck Schumer,Democratic
Richard Burr,Republican
Thom Tillis,Republican
Kevin Cramer,Republican
John Hoeven,Republican
Sherrod Brown,Democratic
Rob Portman,Republican
Jim Inhofe,Republican
James Lankford,Republican
Jeff Merkley,Democratic
Ron Wyden,Democratic
Bob Casey Jr.,Democratic
Pat Toomey,Republican
Jack Reed,Democratic
Sheldon Whitehouse,Democratic
Lindsey Graham,Republican
Tim Scott,Republican
Mike Rounds,Republican
John Thune,Republican
Marsha Blackburn,Republican
Bill Hagerty,Republican
John Cornyn,Republican
Ted Cruz,Republican
Mike Lee,Republican
Mitt Romney,Republican
Patrick Leahy,Democratic
Bernie Sanders,Independent
Tim Kaine,Democratic
Mark Warner,Democratic
James Hagedorn,Republican
Maria Cantwell,Democratic
Patty Murray,Democratic
Shelley Moore Capito,Republican
Joe Manchin III,Democratic
Tammy Baldwin,Democratic
Ronald Harold Johnson,Republican
John Barrasso,Republican
Cynthia Lummis,Republican
Jerry Carl,Republican
Felix Barry Moore,Republican
Mike Rogers,Republican
Francis Rooney,Republican
Robert Aderholt,Republican
Mo Brooks,Republican
Gary Palmer,Republican
Terri Sewell,Democratic
Aumua Amata Radewagen,Republican
Tom O'Halleran,Democratic
Ann Kirkpatrick,Democratic
Raúl M. Grijalva,Democratic
Paul Gosar,Republican
Gilbert Cisneros,Democratic
Andy Biggs,Republican
David Schweikert,Republican
Ruben Gallego,Democratic
Susan W. Brooks,Republican
Debbie Lesko,Republican
Greg Stanton,Democratic
Rick Crawford,Republican
James French Hill,Republican
Steve Womack,Republican
Bruce Westerman,Republican
Doug LaMalfa,Republican
Jared Huffman,Democratic
John Garamendi,Democratic
Tom McClintock,Republican
Mike Thompson,Democratic
Doris O. Matsui,Democratic
Ami Bera,Democratic
Jay Obernolte,Republican
Jerry McNerney,Democratic
Josh Harder,Democratic
Mark DeSaulnier,Democratic
Nancy Pelosi,Democratic
Barbara Lee,Democratic
Jackie Speier,Democratic
Eric Swalwell,Democratic
James M. Costa,Democratic
Rohit Khanna,Democratic
Anna Eshoo,Democratic
Zoe Lofgren,Democratic
Jimmy Panetta,Democratic
David G. Valadao,Republican
Kevin McCarthy,Republican
Salud Carbajal,Democratic
Michael Garcia,Republican
Julia Brownley,Democratic
Judy Chu,Democratic
Adam B. Schiff,Democratic
Tony Cárdenas,Democratic
Brad Sherman,Democratic
Pete Aguilar,Democratic
Grace Napolitano,Democratic
Ted Lieu,Democratic
Jimmy Gomez,Democratic
Norma Torres,Democratic
Raul Ruiz,Democratic
Karen Bass,Democratic
Linda Sánchez,Democratic
Young Kim,Republican
Lucille Roybal-Allard,Democratic
Mark Takano,Democratic
None Ashley Hinson Arenholz,Republican
None Deborah K. Ross,Democratic
Ken Calvert,Republican
Maxine Waters,Democratic
Nanette Barragán,Democratic
Katie Porter,Democratic
Lou Correa,Democratic
Alan S. Lowenthal,Democratic
Michelle Steel,Republican
Mike Levin,Democratic
Darrell Issa,Republican
Juan Vargas,Democratic
Scott H. Peters,Democratic
Sara Jacobs,Democratic
None Sara Jacobs,Democratic
Diana DeGette,Democratic
Joe Neguse,Democratic
Lauren Boebert,Republican
Kenneth R. Buck,Republican
Doug Lamborn,Republican
Jason Crow,Democratic
Ed Perlmutter,Democratic
John B. Larson,Democratic
Joe Courtney,Democratic
Rosa L. DeLauro,Democratic
Jim Himes,Democratic
Jahana Hayes,Democratic
Lisa Blunt Rochester,Democratic
Matt Gaetz,Republican
Neal Dunn,Republican
Kat Cammack,Republican
John Rutherford,Republican
Alfred Lawson,Democratic
Michael Waltz,Republican
"Neal Patrick Dunn MD, FACS",Republican
"Neal Patrick MD, FACS Dunn",Republican
"Neal Patrick MD, Facs Dunn",Republican
Stephanie Murphy,Democratic
Bill Posey,Republican
Darren Soto,Democratic
Val Demings,Democratic
Daniel Webster,Republican
Gus M. Bilirakis,Republican
Charlie Crist,Democratic
Kathy Castor,Democratic
Mr. Scott Franklin,Republican
Scott Franklin,Republican
Vern Buchanan,Republican
W. Greg Steube,Republican
Greg Steube,Republican
Brian Mast,Republican
Byron Donalds,Republican
Sheila Cherfilus-McCormick,Democratic
Lois Frankel,Democratic
Theodore E. Deutch,Democratic
Debbie Wasserman Schultz,Democratic
Frederica S. Wilson,Democratic
Mario Diaz-Balart,Republican
Carlos Gimenez,Republican
Maria Elvira Salazar,Republican
Earl Leroy Carter,Republican
Sanford Bishop Jr.,Democratic
Drew Ferguson,Republican
Hank Johnson,Democratic
Nikema Williams,Democratic
Lucy McBath,Democratic
Carolyn Bourdeaux,Democratic
Greg Gianforte,Republican
Austin Scott,Republican
Andrew Clyde,Republican
Jody Hice,Republican
Barry Loudermilk,Republican
Richard W. Allen,Republican
David Scott,Democratic
Mrs. Marjorie Taylor Greene,Republican
Marjorie Taylor Greene,Republican
Michael F.Q. San Nicolas,Democratic
Ed Case,Democratic
Kaiali'i Kahele,Democratic
Russ Fulcher,Republican
Michael K. Simpson,Republican
Bobby Rush,Democratic
Robin Kelly,Democratic
Marie Newman,Democratic
None Marie Newman,Democratic
Mark Dr Green,Republican
Jesus Garcia,Democratic
Mike Quigley,Democratic
Sean Casten,Democratic
Danny K. Davis,Democratic
S. Raja Krishnamoorthi,Democratic
Jan Schakowsky,Democratic
Bradley S. Schneider,Democratic
Bill Foster,Democratic
Mike Bost,Republican
Rodney Davis,Republican
Peter J. Visclosky,Democratic
Lauren Underwood,Democratic
Mary Miller,Republican
Adam Kinzinger,Republican
Susan A. Davis,Democratic
Cheri Bustos,Democratic
Darin LaHood,Republican
Frank Mrvan,Democratic
Jackie Walorski,Republican
James E. Banks,Republican
James E Hon Banks,Republican
Jim Baird,Republican
Victoria Spartz,Republican
None Victoria Spartz,Republican
Greg Pence,Republican
André Carson,Democratic
Larry Bucshon,Republican
Trey Hollingsworth,Republican
Ashley Hinson,Republican
Mariannette Miller-Meeks,Republican
Cindy Axne,Democratic
Randy Feenstra,Republican
Tracey Mann,Republican
Jacob LaTurner,Republican
Sharice Davids,Democratic
Ron Estes,Republican
James Comer,Republican
Brett Guthrie,Republican
John A. Yarmuth,Democratic
Thomas Massie,Republican
Harold Dallas Rogers,Republican
Andy Barr,Republican
Steve Scalise,Republican
Bill Flores,Republican
Troy Carter,Democratic
Clay Higgins,Republican
Mike Johnson,Republican
Wm. Lacy Clay,Democratic
Julia Letlow,Republican
Carol Devine Miller,Republican
Garret Graves,Republican
Chellie Pingree,Democratic
Jared Golden,Democratic
Andrew Harris,Republican
Dutch Ruppersberger,Democratic
John Sarbanes,Democratic
Anthony G. Brown,Democratic
Steny Hoyer,Democratic
David Trone,Democratic
Kweisi Mfume,Democratic
Jamie Raskin,Democratic
Richard Neal,Democratic
Jim McGovern,Democratic
Lori Trahan,Democratic
Jake Auchincloss,Democratic
Katherine M. Clark,Democratic
Seth Moulton,Democratic
Ayanna Pressley,Democratic
Stephen Lynch,Democratic
Bill Keating,Democratic
Jack Bergman,Republican
Bill Huizenga,Republican
Mr. Peter Meijer,Republican
John Moolenaar,Republican
Dan Kildee,Democratic
William R. Keating,Democratic
Fred Upton,Republican
Tim Walberg,Republican
Elissa Slotkin,Democratic
Andy Levin,Democratic
Lisa McClain,Republican
Haley Stevens,Democratic
Debbie Dingell,Democratic
Rashida Tlaib,Democratic
Brenda Lawrence,Democratic
Angie Craig,Democratic
Dean Phillips,Democratic
Betty McCollum,Democratic
Ilhan Omar,Democratic
Tom Emmer,Republican
Michelle Fischbach,Republican
Pete Stauber,Republican
Trent Kelly,Republican
Bennie Thompson,Democratic
Michael Patrick Guest,Republican
Steven Palazzo,Republican
Cori Bush,Democratic
Ann Wagner,Republican
Blaine Luetkemeyer,Republican
Vicky Hartzler,Republican
Emanuel Cleaver,Democratic
Mr. TJ John (Tj) Cox,Democratic
Sam Graves,Republican
Billy Long,Republican
Jason Smith,Republican
Matt Rosendale,Republican
Don Bacon,Republican
Adrian Smith,Republican
Dina Titus,Democratic
Mark Amodei,Republican
Susie Lee,Democratic
Steven Horsford,Democratic
Chris Pappas,Democratic
Annie Kuster,Democratic
Donald Norcross,Democratic
Jeff Van Drew,Republican
Andrew Kim,Democratic
Chris Smith,Republican
Josh Gottheimer,Democratic
Frank Pallone,Democratic
Tom Malinowski,Democratic
Albio Sires,Democratic
Bill Pascrell,Democratic
Donald Payne Jr.,Democratic
Mikie Sherrill,Democratic
Bonnie Watson Coleman,Democratic
Melanie Ann Stansbury,Democratic
Yvette Herrell,Republican
Teresa Leger Fernandez,Democratic
Lee Zeldin,Republican
Andrew Garbarino,Republican
Thomas Suozzi,Democratic
Kathleen Rice,Democratic
Gregory W. Meeks,Democratic
Grace Meng,Democratic
Nydia Velazquez,Democratic
Hakeem S. Jeffries,Democratic
Yvette D. Clarke,Democratic
Jerrold Nadler,Democratic
Nicole Malliotakis,Republican
Carolyn B. Maloney,Democratic
Adriano Espaillat,Democratic
Alexandria Ocasio-Cortez,Democratic
Ritchie Torres,Democratic
Jamaal Bowman,Democratic
Mondaire Jones,Democratic
Sean Patrick Maloney,Democratic
Antonio Delgado,Democratic
Paul Tonko,Democratic
Elise Stefanik,Republican
Claudia Tenney,Republican
John Katko,Republican
Joseph D. Morelle,Democratic
Brian Higgins,Democratic
Christopher L. Jacobs,Republican
Eleanor Holmes Norton,Democratic
G.K. Butterfield,Democratic
Deborah K. Ross,Democratic
Gregory Murphy,Republican
David E. Price,Democratic
Virginia Foxx,Republican
None Kathy Manning,Democratic
Kathy Manning,Democratic
George Holding,Republican
David Cheston Rouzer,Republican
Richard Hudson,Republican
Dan Bishop,Republican
Patrick T. McHenry,Republican
David Madison Cawthorn,Republican
Alma Adams,Democratic
Ted Budd,Republican
Kelly Armstrong,Republican
Gregorio Kilili Camacho Sablan,Independent
Steve Chabot,Republican
Brad Wenstrup,Republican
Harley E. Rouda,Democratic
Joyce Beatty,Democratic
Justin Amash,Republican
Jim Jordan,Republican
Bob Latta,Republican
Bill Johnson,Republican
Bob Gibbs,Republican
Warren Davidson,Republican
Marcy Kaptur,Democratic
Michael Turner,Republican
Robert E. Latta,Republican
Shontel Brown,Democratic
Troy Balderson,Republican
Tim Ryan,Democratic
David P. Joyce,Republican
Kenny Marchant,Republican
Mike Carey,Republican
Anthony E. Gonzalez,Republican
Kevin Hern,Republican
Markwayne Mullin,Republican
David P. Roe,Republican
Frank Lucas,Republican
Tom Cole,Republican
Stephanie Bice,Republican
Suzanne Bonamici,Democratic
Cliff Bentz,Republican
Earl Blumenauer,Democratic
Peter DeFazio,Democratic
Kurt Schrader,Democratic
Brian Fitzpatrick,Republican
Brendan Boyle,Democratic
Dwight Evans,Democratic
Madeleine Dean,Democratic
Mary Gay Scanlon,Democratic
Chrissy Houlahan,Democratic
Susan Wild,Democratic
Matt Cartwright,Democratic
Daniel Meuser,Republican
Scott Perry,Republican
Lloyd K. Smucker,Republican
Fred Keller,Republican
John Joyce,Republican
Guy Reschenthaler,Republican
Glenn Thompson,Republican
Mike Kelly,Republican
Conor Lamb,Democratic
Michael Doyle,Democratic
Jenniffer González-Colón,New Progressive
David N. Cicilline,Democratic
James R. Langevin,Democratic
Nancy Mace,Republican
Joe Wilson,Republican
Jeff Duncan,Republican
William R. Timmons,Republican
Ralph Norman,Republican
James Clyburn,Democratic
Tom Rice,Republican
Dusty Johnson,Republican
K. Michael Conaway,Republican
Diana Harshbarger,Republican
Tim Burchett,Republican
Charles J. "Chuck" Fleischmann,Republican
Scott DesJarlais,Republican
Jim Cooper,Democratic
John Rose,Republican
Mark Green,Republican
David Kustoff,Republican
Steve Cohen,Democratic
Louis B. Gohmert Jr.,Republican
Daniel Crenshaw,Republican
Nicholas Van Taylor,Republican
Nicholas V. Taylor,Republican
Patrick Fallon,Republican
Lance Gooden,Republican
Jake Ellzey,Republican
Lizzie Pannill Fletcher,Democratic
Kevin Brady,Republican
Al Green,Democratic
Michael T. McCaul,Republican
August Lee Pfluger,Republican
Kay Granger,Republican
Ronny L. Jackson,Republican
Randy Weber,Republican
Vicente Gonzalez Jr.,Democratic
Veronica Escobar,Democratic
Pete Sessions,Republican
Sheila Jackson Lee,Democratic
Jodey Arrington,Republican
Joaquin Castro,Democratic
Chip Roy,Republican
Troy Nehls,Republican
Tony Gonzales,Republican
Beth Van Duyne,Republican
Roger Williams,Republican
Michael C. Burgess,Republican
Michael Cloud,Republican
Henry Cuellar,Democratic
Sylvia Garcia,Democratic
Eddie Bernice Johnson,Democratic
John Carter,Republican
Colin Allred,Democratic
Marc Veasey,Democratic
Lloyd Doggett,Democratic
Brian Babin,Republican
Blake Moore,Republican
Chris Stewart,Republican
John Curtis,Republican
Burgess Owens,Republican
Peter Welch,Democratic
Stacey Plaskett,Democratic
Robert J. Wittman,Republican
Elaine Luria,Democratic
Robert C. "Bobby" Scott,Democratic
Aston Donald McEachin,Democratic
Bob Good,Republican
Benjamin Lee Cline,Republican
Abigail Spanberger,Democratic
Donald Sternoff Beyer,Democratic
Donald Sternoff Honorable Beyer,Democratic
H. Morgan Griffith,Republican
Jennifer Wexton,Democratic
Gerald E. Connolly,Democratic
Suzan K. DelBene,Democratic
Rick Larsen,Democratic
Jaime Herrera Beutler,Republican
Dan Newhouse,Republican
Donna Shalala,Democratic
Cathy McMorris Rodgers,Republican
Derek Kilmer,Democratic
Pramila Jayapal,Democratic
Kim Dr Schrier,Democratic
Kim Schrier,Democratic
D. Adam Smith,Democratic
Marilyn Strickland,Democratic
David B. McKinley,Republican
Alexander Mooney,Republican
Carol  Devine Miller,Republican
Bryan Steil,Republican
Mark Pocan,Democratic
Ronald James Kind,Democratic
Gwen Moore,Democratic
Scott Fitzgerald,Republican
Glenn Grothman,Republican
Tom Tiffany,Republican
Michael John Gallagher,Republican
Liz Cheney,Republican
